user_id,username,email,password,date_joined,profile_picture
11,sarahschultz,sramos@example.net,L&rF1uTxv_,2022-12-10,https://dummyimage.com/846x894
12,ashleysmith,mendezryan@example.net,w!E24UBa&v,2023-09-01,https://placekitten.com/522/270
13,whart,matthewjames@example.com,8WV+kXcp*2,2023-07-31,https://picsum.photos/58/256
14,shaunharris,fisherandrew@example.net,!0jkHs*odq,2022-07-07,https://picsum.photos/939/420
15,crystal34,qgrimes@example.net,*brgHVCwt9,2023-10-07,https://placekitten.com/275/228
16,anthonylee,brianjensen@example.org,@+4Kw9mqEQ,2022-07-28,https://placekitten.com/5/655
17,jrose,crawfordlaura@example.com,v86Apm9m@x,2022-08-19,https://placekitten.com/795/608
18,pmeyer,crystalmolina@example.org,d^3I1IX#Ss,2023-08-09,https://placekitten.com/825/177
19,jacobmacdonald,gchang@example.com,)6kHXPuY4u,2023-01-01,https://placekitten.com/551/543
20,aodom,sarahcooper@example.net,3qwKiu+z%y,2022-08-23,https://dummyimage.com/896x657
